1PRE_OnlineSufficientDimensionReductionThroughSlicedInverseRegression,278
1PRE_WeightedMessagePassingandMinimumEnergyFlowforHeterogeneousStochasticBlockModelswithSideInformation,279
1PRE_NeymanPearsonclassificationparametricsandsamplesizerequirement,280
1PRE_Generalizedprobabilisticprincipalcomponentanalysisofcorrelateddata,281
1PRE_OnlpSupportVectorMachinesandMultidimensionalKernels,282
1PRE_PracticalLocallyPrivateHeavyHitters,283
1PRE_ExpectationPropagationasaWayofLifeAFrameworkforBayesianInferenceonPartitionedData,284
1PRE_ConnectingSpectralClusteringtoMaximumMarginsandLevelSets,285
1PRE_ConvergencesofRegularizedAlgorithmsandStochasticGradientMethodswithRandomProjections,286
1PRE_DerivativeFreeMethodsforPolicyOptimizationGuaranteesforLinearQuadraticSystems,287
1PRE_AveragedCollapsedVariationalBayesInference,288
1PRE_CommunicationefficientSparseRegression,289
1PRE_ImprovingVariationalMethodsviaPairwiseLinearResponseIdentities,290
1PRE_DistributedSequenceMemoryofMultidimensionalInputsinRecurrentNetworks,291
1PRE_PersistenceImagesAStableVectorRepresentationofPersistentHomology,292
1PRE_OnPerturbedProximalGradientAlgorithms,293
1PRE_UsingConceptorstoManageNeuralLongTermMemoriesforTemporalPatterns,294
1PRE_AutomaticDifferentiationVariationalInference,295
1PRE_BreakingtheCurseofDimensionalitywithConvexNeuralNetworks,296
1PRE_OntheEquivalencebetweenKernelQuadratureRulesandRandomFeatureExpansions,297
1PRE_AnalyzingTensorPowerMethodDynamicsinOvercompleteRegime,298
1PRE_IdentifyingaMinimalClassofModelsforHighdimensionalData,299
1PRE_AdaptationBasedonGeneralizedDiscrepancy,300
1PRE_TransportAnalysisofInfinitelyDeepNeuralNetwork,301
1PRE_ParsimoniousOnlineLearningwithKernelsviaSparseProjectionsinFunctionSpace,302
1PRE_ConvergenceRateofaSimulatedAnnealingAlgorithmwithNoisyObservations,303
1PRE_ScalableApproximationsforGeneralizedLinearProblems,304
1PRE_ForwardBackwardSelectionwithEarlyDropping,305
1PRE_DynamicPricinginHighdimensions,306
1PRE_GraphicalLassoandThresholdingEquivalenceandClosedformSolutions,307
1PRE_ScalableKernelKMeansClusteringwithNystromApproximationRelativeErrorBounds,308
1PRE_Smoothneighborhoodrecommendersystems,309
